Organization,Mission,Families,Educators,Workspace,Rank
Montgomery AIDS Outreach Inc,0.110940383,0.139500241,0.120741769,0.098861652,0.115320802
Ums Wright UmsWright Corporation,0.173980898,0.182974843,0.126916793,0.155131041,0.164494229
Redstone Military Retirement Residence Association,0.121435077,0.159740945,0.140788059,0.096398743,0.126872163
Mizell Memorial Hospital Inc,0.083593231,0.127110668,0.114310346,0.104168555,0.099394877
Alabama Education Association Inc,0.08153302,0.122782775,0.082164753,0.069492912,0.086506583
Health Care Authority of the City of Enterprise Inc,0.240700039,0.292737539,0.256670353,0.234378844,0.250981142
Community Service Programs of West Alabama Inc,0.091721419,0.131848307,0.12194584,0.090532032,0.103248406
Tombigbee Electric Cooperative Inc,0.127489684,0.176802313,0.162375855,0.122099427,0.140624441
Mercy Life of Alabama,0.096374471,0.118733332,0.114617002,0.109612227,0.105347663
Lakeland Community Hospital Inc,0.159030942,0.199927221,0.171432142,0.133302502,0.163625782
Alabama Farmers Cooperative Employees Welfare Benefit Plan,0.338479714,0.35249749,0.385353479,0.368621518,0.353651938
St Pauls Episcopal School,0.181126922,0.182236324,0.129389601,0.163404545,0.169735206
SCHOLARSHIPS FOR KIDS INC,0.071009006,0.08318263,0.062831196,0.073049193,0.072015006
AIDS ACTION COALITION OF HUNTSVILLE,0.11808118,0.164233842,0.139361809,0.123503783,0.130223829
Ability Plus Inc,0.086704614,0.119456904,0.100066078,0.09474288,0.095729951
Marshall Dekalb MarshallDekalb Electric Cooperative,0.233747918,0.262740266,0.270241682,0.233342414,0.244594686
American Society for Reproductive Medicine,0.121895601,0.171390316,0.134671581,0.120996154,0.132124142
MARINE ENVIRONMENTAL SCIENCES CONSORTIUM,0.093967828,0.150610218,0.109533845,0.101505364,0.107258819
Troy University Foundation,0.104083293,0.152612063,0.127030147,0.108496872,0.116731494
Thompson Tractor CO Inc Employee Benefit Trust,0.225151479,0.253941811,0.239496058,0.18884803,0.226290056
Lucille S Beeson Charitable Remainder 66 1055001761,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Alabama Teachers Credit Union,0.091112466,0.13289301,0.12657942,0.104765057,0.106262481
Montgomery Community Action Committee,0.140491503,0.179398608,0.15259611,0.121629664,0.145849815
Cindy Haber Center Inc,0.183531842,0.208825654,0.19687166,0.159211881,0.185917454
Erc Inc VEBA Tr,0.165055089,0.191427153,0.179883136,0.12945655,0.165988684
Northeast Alabama Mr DD Authority,0.154791969,0.185625917,0.157901412,0.136231219,0.157355742
"Big Oak Ranch, Inc.",0.068643711,0.069333682,0.09226914,0.091666553,0.076533418
United Methodist Children's Home,0.089173025,0.102181831,0.107507129,0.114564927,0.098628827
Credit Unions in the State of Alabama,0.053632103,0.085065004,0.083998489,0.062751708,0.065451918
Building Trades Afl Agc AflAgc Welfare Fund,0.142744635,0.186301173,0.153861725,0.122831992,0.148538133
New Horizons Credit Union,0.105704211,0.135974902,0.131260809,0.103629333,0.114662946
New Hope Telephone Cooperative,0.176544864,0.238769249,0.201580503,0.165422256,0.189234433
U S Space & Rocket Center Education Foundation,0.138952504,0.160413554,0.130690326,0.130713059,0.139779075
Red Mountain Theatre Company Inc,0.227510762,0.241278191,0.23110841,0.253580991,0.23474998
Aletheia House Inc,0.056156956,0.086675334,0.077877627,0.062837903,0.065976955
Alabama Council On Human Relations,0.186624642,0.208989825,0.191609375,0.153733885,0.185701169
Infirmary Health Hospitals Inc,0.08144318,0.126853854,0.104955749,0.086839755,0.093829816
Organized Community Action Program Inc,0.188050039,0.22581725,0.199197588,0.174150976,0.193885988
University of South Alabama Foundation,0.118900161,0.149617542,0.111616637,0.106838943,0.120795601
Tva Community Credit Union,0.165378489,0.206018927,0.186775015,0.143594137,0.172087258
AIDS Alabama,0.104942127,0.131133925,0.122128723,0.105830734,0.112319961
BARBER VINTAGE MOTORSPORT MUSEUM,0.134616791,0.165070995,0.158215412,0.13697539,0.144018695
University of Alabama Ophthalmology Services Foundation,0.144740382,0.17540346,0.148090553,0.12509338,0.147134757
Altec Styslinger AltecStyslinger Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Montgomery Academy Inc,0.21128561,0.243649192,0.208411191,0.208001172,0.215653064
Caring Foundation,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Mutual Savings,0.091112466,0.13289301,0.12657942,0.104765057,0.106262481
Saint James School,0.046270612,0.065901261,0.049605746,0.064918073,0.053206152
Alabama Shakespeare Festival Inc,0.183730202,0.203005476,0.164870973,0.191664752,0.185121968
Christ Health Center,0.050253697,0.081043851,0.07507287,0.069436701,0.062719086
Henry County Health Care Authority,0.142232006,0.19342662,0.175825763,0.120888218,0.152806103
Vestavia Country Club,0.119526326,0.157464612,0.140898724,0.122314986,0.129876217
United Ability Inc,0.07972123,0.125789686,0.096768545,0.088108337,0.091638376
Alabama Farmers Federation Inc,0.130282982,0.183369471,0.145437997,0.123830759,0.140581196
Trinity Presbyterian School,0.076005755,0.094582325,0.09039911,0.110299996,0.087216449
Presbyterian Retirement Homes of Birmingham Inc,0.087672118,0.126949959,0.107650785,0.078130933,0.095958005
Plumbers & Steamfitters Local Union No 760,0.138555841,0.170252406,0.157279633,0.112546809,0.142624395
Shoal Creek,0.152624253,0.19144735,0.173838278,0.165249644,0.164734672
Centers for the Developmentally Disabled N Cent Alabama Inc,0.328674131,0.358672803,0.3355147,0.334771928,0.335830304
Lee County Youth Development Center Inc,0.075748062,0.085863368,0.09737023,0.104384601,0.085810398
Bayside Academy Inc,0.061566892,0.091560859,0.071889254,0.079923447,0.071345706
FOOD BANK OF EAST ALABAMA INC,0.106354354,0.13426741,0.133439924,0.10510696,0.115312893
Amridge University Inc,0.113187707,0.137762955,0.103522464,0.116478018,0.116221093
Lakeshore Foundation,0.097475931,0.132050128,0.115705993,0.091588956,0.105295478
Alabama Educational Foundation and Indian Springs School A Corporatio,0.105317659,0.127097966,0.1126156,0.131026855,0.1144489
Community Action Agency of South Alabama,0.162584914,0.195098012,0.167129853,0.129537875,0.163253414
Concordia College Alabama,0.113786127,0.132311216,0.095749295,0.110079504,0.113249733
Banyan Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Uab Educational Foundation,0.11936066,0.16628279,0.139516848,0.112735068,0.129436114
United States Health & Housing Foundation Inc,0.136402448,0.173436152,0.15382403,0.112897923,0.141560908
Mountain Brook Club,0.16441872,0.218669113,0.204327871,0.178317798,0.18242849
West Alabama Regional Commission,0.101259876,0.146240993,0.121093798,0.089163617,0.110046339
Young Mens Christian Association of Metropolitan Huntsville Alabama,0.081154134,0.092433334,0.099534376,0.108796804,0.090704486
The Valley Foundation,0.061446274,0.101663402,0.076915131,0.067769373,0.071781121
Family Guidance Center,0.127663252,0.137377733,0.115444175,0.10252705,0.123056453
Marshall Jackson 310 Agency Inc,0.250568181,0.285013996,0.269212426,0.229721982,0.255942158
Marshall Jackson MarshallJackson Mental Health Board Incorporated,0.236700887,0.241023926,0.244836237,0.220816475,0.236129883
Arc Baldwin ArcBaldwin County Inc,0.067695333,0.1049901,0.090583552,0.062850258,0.076918318
Alabama Regional Medical Services,0.08321456,0.126555397,0.103657094,0.074083791,0.092323327
The University of South Alabama Professional Liability Trust Fund,0.162754065,0.21393805,0.184442869,0.134445503,0.170181436
Alabama Credit Union Adminstration,0.102546887,0.134889676,0.129433711,0.103716613,0.112613444
Downtown Rescue Mission Inc,0.138203749,0.135574184,0.147651337,0.1524227,0.141709912
Faith Academy of Mobile Inc,0.137687172,0.149569371,0.108708494,0.135319592,0.134443162
Second Wind Programs Inc,0.083487916,0.118461384,0.08839715,0.094137524,0.091909968
John Knox Manor Inc,0.071639034,0.090439127,0.087649391,0.072665819,0.077611907
Credit Unions in the State of Alabama,0.089820559,0.13322499,0.117559443,0.088137086,0.101397199
Goodwill Industries of Central Alabama Inc,0.094878806,0.147053969,0.117146417,0.087503499,0.106056717
Daniel Foundation of Alabama,0.129539527,0.173124454,0.139183833,0.112311399,0.135539711
Hospice of West Alabama Inc,0.185221664,0.214123017,0.208394825,0.176825087,0.19250132
Country Club of Mobile,0.183494497,0.2242072,0.195543065,0.176851485,0.191180874
Little Sisters of the Poor Home for the Aged Inc,0.105649328,0.101979328,0.131746791,0.130459298,0.113522234
Alabama High School Athletic Association,0.204217174,0.211866079,0.187214833,0.193892824,0.200937543
Vulcan Materials Company Foundation,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
A PLUS EDUCATION PARTNERSHIP,0.07544002,0.108212948,0.070291981,0.074762108,0.079931183
Central North Alabama Health Services Inc,0.193751938,0.231765146,0.209916758,0.186650763,0.20159808
Catholic Housing of Mobile Inc,0.185262563,0.212076632,0.212425863,0.167502564,0.191298791
Phil Waldrep Evangelistic Association,0.065494202,0.100847659,0.087022689,0.089586365,0.078989887
GATEWAY,0.195844796,0.189079716,0.192552604,0.194498791,0.19394425
Community Foundation of South Alabama,0.165458264,0.190839042,0.18225487,0.165009236,0.17241299
Bayou La Batre Area Health Development Board Inc,0.212570728,0.254273734,0.24075329,0.198756141,0.221915891
LEGAL SERVICES ALABAMA INC,0.164750573,0.196528572,0.175870872,0.133126079,0.166629541
Madison Academy Inc,0.068672093,0.080285118,0.072769158,0.087091723,0.07436038
Franklin Electric Cooperative,0.362815557,0.413108665,0.391097205,0.359076968,0.375288251
Housing Affordability Trust,0.085201548,0.127750375,0.114416428,0.078425075,0.096032754
COMMUNITY FOUNDATION OF GREATER HUNTSVILLE,0.027087163,0.060035215,0.059126522,0.046807938,0.041205194
Wiregrass Rehabilitation Center Inc,0.461674732,0.482763301,0.430806759,0.417786658,0.452730152
American Christian Education Association Inc,0.164329339,0.191028987,0.159990595,0.165614544,0.168270357
RAINBOW OMEGA INC,0.190467388,0.213226422,0.193771767,0.193530478,0.195321805
The Foundry Ministries,0.217211114,0.222986081,0.242567854,0.228862131,0.224341568
University of Alabama Alumni Assoc Alumni Hall,0.142987569,0.158014321,0.137829426,0.144955652,0.144960351
Heritage South Credit Union,0.106787975,0.139388136,0.1342955,0.107179675,0.116871206
YWCA Central Alabama,0.178291059,0.208347156,0.198727442,0.172115077,0.185677142
Hearin Chandler HearinChandler Foundation,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Community Action Agency of Central Alabama,0.161380928,0.179311133,0.17047133,0.1456871,0.163268724
Health Services Center Inc,0.13463227,0.188263147,0.163518875,0.11852682,0.145700942
Jacksonville State University Foundation,0.170044742,0.199455657,0.183696911,0.177735132,0.178503655
"Central Alabama Community Foundation, Inc.",0.091711181,0.130723241,0.106571337,0.088656071,0.100180699
Hospice of Marshall County Inc,0.094977805,0.128183927,0.111163443,0.096333808,0.103435765
Advancing Sight Network,0.10125256,0.149027963,0.135455953,0.103852904,0.115349083
The Bell Center for Early Intervention Programs,0.088994572,0.104853538,0.097794699,0.093218788,0.093808457
Gulf Regional Early Childhood Services Inc,0.080757357,0.09943885,0.081366262,0.066600151,0.081612889
Altamont School,0.047352472,0.069280993,0.054369661,0.069781869,0.05591499
Freedom Rain Inc,0.0280173,0.046954018,0.053981279,0.045591014,0.038429701
Seton Property Corporation of North Alabama,0.163579159,0.204852016,0.18195256,0.136405412,0.168991244
Alaska Native Tribal Health Consortium,0.116198348,0.166124895,0.144484972,0.105766076,0.127495164
Southcentral Foundation,0.129185797,0.172057688,0.143897221,0.107332585,0.135140814
Central Peninsula General Hospital Inc,0.077908383,0.127382391,0.10444874,0.090101818,0.092609683
Foundation Health LLC,0.114531722,0.116215891,0.123094489,0.110301492,0.115534506
Golden Valley Electric Assn Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Tanana Chiefs Conference,0.133838692,0.174988406,0.141726218,0.125631444,0.140643691
Yukon Kuskokwim YukonKuskokwim Health Corporation,0.100034338,0.127978667,0.119076513,0.104377453,0.108589274
Southeast Alaska Regional Health Consortium,0.095323159,0.137120275,0.115151103,0.091538564,0.104963237
Chugach Electric Association Inc,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
Norton Sound Health Corporation,0.109476697,0.15937417,0.134651419,0.100118424,0.120429017
Matanuska Electric Association Inc,0.091088763,0.142565498,0.129648983,0.101365374,0.10780769
Public Education Health Trust,0.338479714,0.35249749,0.385353479,0.368621518,0.353651938
Maniilaq Association,0.144736171,0.169986364,0.145968913,0.125719863,0.145980609
Bristol Bay Area Health Corporation,0.220305008,0.279440083,0.244840094,0.221510582,0.234450964
Homer Electric Association Inc,0.085535031,0.138586777,0.127407404,0.098296146,0.10348257
South Peninsula Hospital Inc,0.210857313,0.255988977,0.222046698,0.193445272,0.217342148
Arctic Slope Native Association Ltd,0.130212015,0.171060528,0.15735459,0.139928314,0.143163246
Alaska Electrical Health and Welfare Fund,0.177141316,0.221189786,0.20200106,0.155215042,0.184971639
Alaska Village Electric Cooperative Inc,0.243369402,0.272695178,0.263854984,0.253567243,0.253370935
Alaska Electric and Energy Cooperative Inc,0.085535031,0.138586777,0.127407404,0.098296146,0.10348257
Coastal Villages Region Fund,0.053888004,0.091645782,0.084545312,0.075647908,0.068917169
Cook Inlet Tribal Council Inc,0.078601936,0.111714852,0.088046215,0.06853919,0.084017677
Association of Village Council Presidents,0.076802969,0.130852527,0.098511789,0.078268716,0.089673656
HOPE COMMUNITY RESOURCES INC,0.060547431,0.104113233,0.094209555,0.070921364,0.075147741
Rasmuson Foundation,0.076448344,0.110549357,0.090630723,0.085465611,0.085998454
Greater Fairbanks Community Hospital Foundation Inc,0.059143429,0.092271408,0.082265282,0.062432171,0.069066525
Norton Sound Economic Development Corporation,0.090402825,0.141299059,0.125645002,0.103139979,0.106882086
Kodiak Area Native Association,0.087280164,0.113272256,0.123188065,0.118413169,0.102785664
Bristol Bay Economic Development Corporation,0.118141716,0.16885356,0.143700834,0.117779011,0.130793092
Fairbanks Native Association,0.097974529,0.141343816,0.115992139,0.09997314,0.10853878
Kawerak Inc,0.202266074,0.24700829,0.2171101,0.191415408,0.21038867
Kodiak Electric Association Inc,0.099671374,0.14708414,0.128769391,0.108185627,0.113842213
Alaska Community Foundation,0.103725829,0.12961778,0.125582955,0.127870387,0.115708102
Barrow Utilities & Electric Coopera,0.236274045,0.261733997,0.264951142,0.235849773,0.245226174
Rural Alaska Community Action Program Inc,0.114774035,0.164969769,0.129610051,0.112109166,0.125168515
Alaska Clean Seas,0.130493033,0.186119308,0.168214442,0.126273826,0.145347779
Bristol Bay Native Association Inc,0.107501958,0.15645934,0.12416822,0.10934418,0.118746269
University of Alaska Foundation,0.180251844,0.209933067,0.186551968,0.173273943,0.185085752
Copper Valley Electric Association Inc,0.158675544,0.210369825,0.18829657,0.157412333,0.17201756
Afognak Native Corporation Fringe Benefit Trust,0.157425609,0.18785101,0.176567004,0.121918393,0.159768872
Family Centered Services of Alaska,0.09466626,0.125888471,0.106889958,0.08865898,0.100906032
Aleutian Pribilof AleutianPribilof Islands,0.146014481,0.186966311,0.151730115,0.122758842,0.149916452
The Valley Hospital Association Inc,0.170642185,0.226956746,0.196751554,0.154703896,0.181723125
Alaska Behavioral Health,0.118962243,0.172327664,0.142861406,0.120816574,0.132148729
Anchorage Neighborhood Health,0.1619048,0.193488631,0.170162133,0.140882066,0.165041205
Alaska Pacific University,0.147213077,0.193606054,0.136393967,0.145944886,0.15293069
Credit Union 1,0.072178434,0.109458718,0.094650715,0.081403571,0.083674718
Tlingit Haida TlingitHaida Regional Housing Authority,0.108775168,0.136378926,0.111211811,0.086943437,0.11014328
Chugachmiut,0.089879329,0.139140671,0.105761265,0.092507224,0.101174524
Alaska Childrens Services Inc,0.148407649,0.165104733,0.171332079,0.151130528,0.155465048
Assets Incorporated,0.080716178,0.128862141,0.103466015,0.067423519,0.090316702
Ilisagvik College,0.088992382,0.129450592,0.084681572,0.087936434,0.094840957
Petersburg Medical Center,0.102622118,0.147683558,0.123719643,0.103287904,0.113759577
"Food Bank of Alaska, Inc.",0.09954598,0.110039241,0.120875359,0.10444716,0.105666617
Copper River Native Association,0.148043297,0.200763367,0.171282507,0.146911021,0.160514464
Central Bering Sea Fishermens Association,0.11221411,0.151330183,0.129458533,0.110838946,0.121378332
"REACH, Inc.",0.049582671,0.094668509,0.077975042,0.054322973,0.06261909
Prince William Sound Aquaculture Corp,0.218939893,0.257240866,0.238780025,0.216858238,0.228283135
Fairbanks Resource Agency Inc,0.071900969,0.107384318,0.092000356,0.063687618,0.079795866
Anchorage Neighborhood Housing Services Inc,0.131478802,0.176622861,0.153821718,0.137584067,0.143744175
