Organization,Mission,Families,Educators,Workspace
Compass Bank Health Care Trust,0.22418055812590942,0.24086091737228132,0.23653552659726607,0.1768968700936998
Credit Unions in the State of Alabama,0.09111246576545295,0.1328930096562938,0.1265794197775778,0.10476505733255592
HudsonAlpha Institute for Biotechnology,0.21541676906726248,0.2623171010944987,0.21297340153650557,0.20453364614813363
Civil Air Patrol,0.11666859166409826,0.16429903705336202,0.1391070453797576,0.10942888400611239
Infirmary Health System Inc,0.05509259385107046,0.09637892211759824,0.0856169898910083,0.06872555047190854
Sand Mountain Electric Cooperative,0.08090023512558508,0.12746252693177762,0.11166499076304504,0.08492437223722515
Birmingham Southern BirminghamSouthern College,0.0993896391416561,0.13333417820477034,0.09331249967063127,0.10587766513424857
University of South Alabama Health Services Foundation,0.14299529698668878,0.17174065197695898,0.13277894930063172,0.12827349411762545
Auburn University Foundation,0.17646986833949685,0.20992082209111163,0.18249170728988273,0.1679934063828229
Max Credit Union,0.18660651855640886,0.2153289343025251,0.19995013279379859,0.18139329926856473
Eternal Word Television Network Inc,0.16319043371048514,0.19112025478141847,0.18281355440765934,0.19329099885302137
Tallapoosa River Electric Cooperative Inc,0.1696947475310444,0.21430138681925015,0.20984493735408782,0.17348487135810664
Southern Research Institute,0.05568703523684149,0.0928913578598991,0.0781906486315076,0.061128806883829045
Tennessee Valley Authority Cherokee Electric Cooperative,0.10439132486972613,0.15122280448913272,0.14152160044679152,0.1053950353159322
Dixie Electric Cooperative,0.1377705848554951,0.18414555719758718,0.17617859879408748,0.14400941644663445
Corporate America Credit Union,0.11780576599412396,0.1594143215061684,0.13995385318249298,0.10981432547742531
Oakwood University Inc,0.11636046505800457,0.15049474529312867,0.11802094234368021,0.13146410362705008
Russell Hospital Corporation,0.07263714084712891,0.11059465807320779,0.10301769109115955,0.0790508837566597
Regions Foundation,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
Covington Electric Cooperative Inc,0.16992097009028895,0.21922561682555253,0.1924572359168788,0.16448304718365148
Faulkner University,0.07563447824361358,0.09046962830111638,0.09129855053253255,0.10084810580090342
Tigers Unlimited Foundation,0.3201600627528841,0.34483900293982295,0.31239167684832136,0.3057440189060052
Retail Wholesale & Department Store International Union & Industry,0.18454688421932197,0.21893965321959152,0.18950899605654614,0.15309338435094288
Southern Pine Electric Cooperative,0.11872955468825652,0.1657658160331561,0.15280086962110184,0.12257703585621449
Alabama Forest Resources Center Inc,0.1171839459289995,0.17877752769738053,0.1479555616273187,0.1262104227150307
Credit Unions in the State of Alabama,0.09200909556834658,0.13222218809229946,0.11694264319261027,0.08963893458713901
Wire Grass Electric Cooperative Inc,0.116977243205441,0.15985115746197198,0.14451265916383427,0.1240175479947564
North Alabama Electric Cooperative,0.09267828690399516,0.12802003311010535,0.12234953203704146,0.0992742461700783
International Fertilizer Development Center,0.17543820388969644,0.24044306169830343,0.20217311030752771,0.18003108808132706
Avadian Credit Union,0.14944711077233053,0.17990164323900515,0.17081412446245559,0.14321466909529812
Methodist Home for the Aging,0.2726551481737848,0.26689339384493105,0.2588099439768575,0.227020902748304
South Alabama Electric Cooperative,0.0754120257186226,0.12066073050269521,0.10934822140833977,0.0815237319840657
Feeding the Gulf Coast,0.07491084863429764,0.09522907554022231,0.09520937577154598,0.07666624384795095
Black Warrior Electric Membership Corporation,0.09268194387373274,0.12537253148320282,0.12443752678785835,0.09747703262849272
Walker Area Community Foundation,0.10574991904334641,0.1421990017545336,0.12736501118202592,0.12095187035324884
Credit Unions of Alabama,0.14944711077233053,0.17990164323900515,0.17081412446245559,0.14321466909529812
Huntsville Rehabilitation Fdn,0.08227000293361997,0.12015203090479343,0.1084044372771209,0.09839876065505848
University of Mobile Inc,0.11972221992226384,0.16159246557440754,0.10855309760968734,0.12118150071619038
Coosa Valley Electric Cooperative Inc,0.11261697933017578,0.1696721267474678,0.1402264282124478,0.11084569933145116
COMMUNITY ACTION PARTNERSHIP OF NORTH ALABAMA INC,0.10696194759513833,0.1539860270228517,0.12733231465542538,0.09690902450875016
Alabama Childrens Hospital Foundation,0.222498796729669,0.22933587789761345,0.21838812743458558,0.206411237122745
Uab Health System Managing Board,0.14813868930930896,0.19604780256633791,0.1651033083174286,0.12496899315227739
Guardian Credit Union,0.09111246576545295,0.1328930096562938,0.1265794197775778,0.10476505733255592
Pea River Electric Cooperative,0.13747840345226858,0.1788237641959738,0.16245765970754478,0.12804416308014877
Community Foundation of Greater Birmingham,0.05254218681907186,0.08782929817655172,0.07698678343477894,0.05958971133107904
Clarke Washington ClarkeWashington Electric Membership Corporation,0.06615289837859994,0.11386480203426719,0.10761812756209743,0.08152681239373027
Quality of Life Health Services Inc,0.2102383201155461,0.2459852906516713,0.22136318051220272,0.2055301298799742
Alabama Providence Healthcare Services,0.07122641970944954,0.0983845061746983,0.09377208580415952,0.08448001233246849
Arab Electric Cooperative Inc,0.33847971393439646,0.3524974902800426,0.38535347887683336,0.36862151816523014
Spring Hill College,0.05601162861026121,0.08209949086376245,0.06894825871148802,0.07992106766149643
"Montgomery Area Food Bank, Inc.",0.11340552015956884,0.13758487517803797,0.12855074276670297,0.12111751505732637
Equal Justice Initiative,0.13298741156537985,0.17032178802858544,0.16562385430650894,0.13672550000759753
East Alabama Medical Center Voluntary Employee Benef Assoc Tru,0.11828716919969595,0.15841713265911483,0.14401707968757527,0.10322130727189005
Huntingdon College,0.08926582005335681,0.10779598126869439,0.08485142130341272,0.0978697983924971
Miles College,0.12430486091127968,0.162665807432126,0.13093599047948634,0.139642749626392
Credit Unions in the State of Alabama,0.14944711077233053,0.17990164323900515,0.17081412446245559,0.14321466909529812
Alabama One Credit Union,0.09111246576545295,0.1328930096562938,0.1265794197775778,0.10476505733255592
Community Senior Life Inc,0.1275883367247117,0.16069522399413472,0.1433834263522602,0.11028606165430022
Credit Unions in the State of Alabama,0.14944711077233053,0.17990164323900515,0.17081412446245559,0.14321466909529812
Automotive Aftermarket Association Southeast Health Fund,0.14558864050307108,0.19026983914964368,0.16651236536962322,0.12242472916568725
Russellville Hospital Inc,0.17250765210757102,0.19777734559764193,0.18881952863684315,0.16833520843569816
Pioneer Electric Cooperative Inc,0.13215471023928405,0.18260211033598261,0.17688309545770853,0.15258913242064587
Talladega College,0.09124060168338555,0.11831729267540891,0.08372752090455282,0.10758124220677567
Alabama Power Foundation Inc,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
Five Star Credit Union,0.1088913436107305,0.1427704270670932,0.13173618010807042,0.1114920227160553
Health Services Inc,0.13274454121324852,0.18443128987563573,0.15797063413330914,0.1198267348805705
YMCA of Greater Birmingham,0.07161397287501636,0.08760056440604713,0.08839430434805873,0.09772143570579939
Franklin Primary Health Center Inc,0.19202724161880913,0.23443205976277026,0.21571694292773347,0.1648900989313904
Jefferson County Committee for Economic Opportunity,0.1072902118070197,0.1398654195808413,0.12180783661216699,0.09360988762877687
Escambia County Alabama Community Hospitals Inc,0.16794030735724608,0.21193400689701436,0.1822239775000294,0.15676631345648728
The Arc of Central Alabama Inc,0.1690960265929945,0.19703866877552223,0.17747372563608244,0.165454139697643
Northwest Medical Center Inc,0.19019726908032242,0.2335441280077556,0.20649880133667886,0.1829780057226139
Electric Cooperatives Voluntary Employees Beneficiary Association,0.15998190843184423,0.18979876190321043,0.1815966757720131,0.13031782755290788
Corporation for the Promotion of Rifle Practice and Firearms Safety,0.24764502332467309,0.2744423350939843,0.23895356155794645,0.2392570846130163
Holle Family Foundation,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
Capstone Health Services Foundation P C,0.10973539662488396,0.14956333598229787,0.11190482965422,0.09449368442098205
St Vincents Blount,0.056975631213584954,0.08416531151274242,0.08434341790509425,0.08010642770750398
GLENWOOD INC,0.09174921998284935,0.12591198405965842,0.10539367895968432,0.09522078791562516
Huntsville Emergency Medical Services Inc,0.21595474454306252,0.2597097303543333,0.23802477475102557,0.1829207029456491
Easter Seals Alabama Inc,0.06398844788833946,0.08545789471428511,0.07692461655064331,0.06041435356159719
Learning Tree Inc,0.19071993032538448,0.19302594329677003,0.18139092804962542,0.1921624890431295
Goodwill Industries Easter IndustriesEaster Seals of the Gulf Coast Inc,0.155416117363672,0.18871812632848994,0.17856032986765868,0.14877922935656251
Northwest Alabama Mental Health Center,0.24048631723148972,0.26221104687046726,0.23786715427934113,0.21324522537396495
Alabama State Employees Credit Union,0.10976198832563855,0.14179047189965954,0.13695506822473635,0.10925466372059389
EPISCOPAL FOUNDATION OF JEFFERSON COUNTY ST MARTINS IN THE PINES,0.08627277160464708,0.10820065165378001,0.10149069382999043,0.08001405155905694
Community Food Bank of Central Alabama,0.09736057345370142,0.11522263468024863,0.112947732806994,0.09687263528699763
Randolph School,0.3864445483735306,0.3671946520088156,0.3174299587532613,0.39038639696615673
Cahaba Medical Care Foundation,0.08417714142944899,0.11648979641123614,0.0916950846174609,0.08378133421117051
Community Hospital Inc,0.071873841548733,0.1124311905940718,0.0939273384137933,0.06784876340960189
Huntsville Madison HuntsvilleMadison County Mental Health Board Inc,0.11919271335801018,0.16162496057815556,0.14344938831020648,0.11506437638750311
Stillman College,0.16632154351359174,0.20302388381226733,0.15345774665772283,0.16515025333002364
Sterling CO,0.13091469397445177,0.17972523855192024,0.15740240472834444,0.11823804032548535
Whatley Health Services Inc,0.38943774705458245,0.4368437659452148,0.412129901900404,0.36625575449612746
Southeast Alabama Rural Health Associates,0.07195204444619074,0.11769695115565937,0.10063542074881482,0.07490290222904539
Dynetics Inc Employee Health and Welfare Plan,0.19352867869920642,0.22459666249866883,0.2199481192778845,0.16014147560987857
Birmingham Zoo Inc.,0.22391714624770764,0.2409743525556144,0.24091912698904805,0.25689941421055507
South Alabama Regional Planning Commission,0.1547260357604745,0.20617826789226512,0.1773743930145283,0.1320869888907883
Mobile Community Action Inc,0.039554930068607,0.0719946665225143,0.06318795437472435,0.04638038474792083
Country Club of Birmingham,0.12992936437591973,0.14843387022099752,0.1433653511461932,0.1300434770920741
Young Mens Christian Association,0.04524810151247716,0.06949387674777596,0.06795855116678984,0.06457795762939811
Food Bank of North Alabama,0.256385809770441,0.2714877373552713,0.2748640791688437,0.2563561471943798
Alabama Insurance Guaranty Association,0.25003874713421337,0.2402299351485544,0.2547761445975424,0.24616626455696689
Montgomery AIDS Outreach Inc,0.11094038317688415,0.13950024086391877,0.12074176850937157,0.09886165216150844
Ums Wright UmsWright Corporation,0.17398089837490005,0.18297484329678426,0.12691679339156725,0.15513104059236216
Redstone Military Retirement Residence Association,0.12143507697172362,0.1597409445721305,0.1407880586171657,0.09639874268893689
Mizell Memorial Hospital Inc,0.08359323091616444,0.12711066772952473,0.11431034634355086,0.1041685549665512
Alabama Education Association Inc,0.08153301967446092,0.12278277496809009,0.08216475276278468,0.06949291195985774
Health Care Authority of the City of Enterprise Inc,0.24070003933181916,0.29273753924497437,0.2566703529614719,0.23437884445217183
Community Service Programs of West Alabama Inc,0.09172141942321022,0.13184830691598115,0.1219458399093174,0.0905320324018477
Tombigbee Electric Cooperative Inc,0.12748968415134165,0.1768023130030001,0.16237585463957072,0.12209942724290235
Mercy Life of Alabama,0.09637447130574306,0.11873333208723302,0.11461700232201766,0.1096122268848232
Lakeland Community Hospital Inc,0.15903094247799854,0.19992722139705543,0.1714321418937682,0.13330250223652373
Alabama Farmers Cooperative Employees Welfare Benefit Plan,0.33847971393439646,0.3524974902800426,0.38535347887683336,0.36862151816523014
St Pauls Episcopal School,0.18112692243528927,0.1822363235336213,0.12938960057867177,0.1634045447589344
SCHOLARSHIPS FOR KIDS INC,0.07100900588230485,0.0831826295725443,0.06283119583062824,0.07304919272291643
AIDS ACTION COALITION OF HUNTSVILLE,0.11808117999046852,0.16423384242986128,0.13936180918915875,0.12350378259041628
Ability Plus Inc,0.08670461351143843,0.11945690422146227,0.10006607833872283,0.09474288032722944
Marshall Dekalb MarshallDekalb Electric Cooperative,0.23374791821320628,0.26274026634968595,0.2702416819689104,0.23334241446222392
American Society for Reproductive Medicine,0.1218956007441836,0.1713903162565441,0.1346715811658955,0.12099615432823096
MARINE ENVIRONMENTAL SCIENCES CONSORTIUM,0.09396782835178308,0.1506102178257609,0.10953384466940352,0.10150536376909725
Troy University Foundation,0.1040832931908785,0.15261206342280986,0.12703014746732044,0.10849687181171508
Thompson Tractor CO Inc Employee Benefit Trust,0.22515147915931633,0.2539418105030885,0.23949605782038874,0.18884803024921748
Lucille S Beeson Charitable Remainder 66 1055001761,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
Alabama Teachers Credit Union,0.09111246576545295,0.1328930096562938,0.1265794197775778,0.10476505733255592
Montgomery Community Action Committee,0.14049150260535626,0.17939860840703092,0.1525961095757249,0.12162966446070622
Cindy Haber Center Inc,0.18353184241611342,0.20882565392841956,0.19687166022122693,0.1592118810477744
Erc Inc VEBA Tr,0.16505508889011922,0.1914271532278391,0.17988313589708804,0.12945654973427678
Northeast Alabama Mr DD Authority,0.15479196875992018,0.18562591653371974,0.15790141204217656,0.13623121897780255
"Big Oak Ranch, Inc.",0.06864371088574517,0.06933368220996317,0.09226913971999295,0.09166655315768113
United Methodist Children's Home,0.08917302500528168,0.10218183123740598,0.10750712892003389,0.11456492669383955
Credit Unions in the State of Alabama,0.053632103038649626,0.085065003567803,0.08399848877898386,0.0627517079557447
Building Trades Afl Agc AflAgc Welfare Fund,0.1427446353357973,0.18630117264255464,0.1538617250204667,0.12283199226305064
New Horizons Credit Union,0.10570421050582468,0.13597490180645266,0.13126080940548324,0.10362933293756293
New Hope Telephone Cooperative,0.17654486375528367,0.23876924921720777,0.2015805027593035,0.1654222562907064
U S Space & Rocket Center Education Foundation,0.13895250437898243,0.1604135543559172,0.13069032581093243,0.1307130586806421
Red Mountain Theatre Company Inc,0.22751076175664575,0.24127819139904583,0.23110841018235606,0.25358099095536346
Aletheia House Inc,0.05615695605035542,0.08667533369676805,0.07787762706650969,0.0628379030310744
Alabama Council On Human Relations,0.1866246421152219,0.20898982478713668,0.1916093752598742,0.15373388518126252
Infirmary Health Hospitals Inc,0.08144318006177553,0.12685385358071333,0.10495574871178326,0.08683975478832329
Organized Community Action Program Inc,0.18805003891861272,0.22581724961194594,0.19919758781214247,0.17415097552691905
University of South Alabama Foundation,0.11890016072415022,0.14961754209236255,0.11161663747121031,0.10683894333353527
Tva Community Credit Union,0.16537848910004926,0.20601892720862913,0.18677501532820062,0.14359413690895262
AIDS Alabama,0.10494212731736541,0.13113392541502134,0.12212872323426494,0.10583073436808954
BARBER VINTAGE MOTORSPORT MUSEUM,0.1346167905345147,0.16507099478114895,0.15821541183081678,0.13697538996992742
University of Alabama Ophthalmology Services Foundation,0.14474038245110787,0.1754034598432629,0.14809055251449654,0.12509338047515484
Altec Styslinger AltecStyslinger Foundation Inc,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
Montgomery Academy Inc,0.21128560992457268,0.24364919237313798,0.2084111905079321,0.20800117156335873
Caring Foundation,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
Mutual Savings,0.09111246576545295,0.1328930096562938,0.1265794197775778,0.10476505733255592
Saint James School,0.0462706115103344,0.06590126095298954,0.04960574579213295,0.0649180734982091
Alabama Shakespeare Festival Inc,0.18373020237412419,0.20300547624979237,0.16487097264097483,0.19166475190901844
Christ Health Center,0.05025369733919105,0.08104385130744718,0.07507287026363063,0.06943670073278141
Henry County Health Care Authority,0.14223200648143242,0.1934266196788179,0.1758257632776844,0.12088821809781725
Vestavia Country Club,0.11952632594248402,0.15746461232173448,0.14089872419559835,0.12231498559462517
United Ability Inc,0.07972122986694086,0.12578968601970741,0.09676854478825037,0.08810833704382559
Alabama Farmers Federation Inc,0.13028298245858827,0.18336947060022601,0.14543799745323716,0.12383075860244896
Trinity Presbyterian School,0.07600575518122121,0.0945823252621999,0.09039910980824739,0.11029999599497298
Presbyterian Retirement Homes of Birmingham Inc,0.08767211840191247,0.12694995929614283,0.10765078520376703,0.0781309330495763
Plumbers & Steamfitters Local Union No 760,0.1385558411731561,0.17025240603259717,0.15727963325478866,0.11254680941113171
Shoal Creek,0.15262425310699168,0.19144735026721194,0.17383827794685902,0.1652496437244092
Centers for the Developmentally Disabled N Cent Alabama Inc,0.3286741310033209,0.3586728030692715,0.3355146995632394,0.334771927628571
Lee County Youth Development Center Inc,0.07574806215099439,0.08586336821769902,0.09737023047604987,0.10438460136937566
Bayside Academy Inc,0.06156689211760469,0.0915608586160771,0.07188925372129984,0.07992344687974862
FOOD BANK OF EAST ALABAMA INC,0.10635435440899066,0.1342674104218593,0.1334399235133582,0.10510696031699829
Amridge University Inc,0.11318770709198422,0.137762955400487,0.10352246356696904,0.1164780178240814
Lakeshore Foundation,0.09747593108710129,0.13205012822191065,0.11570599269998139,0.09158895628911212
Alabama Educational Foundation and Indian Springs School A Corporatio,0.10531765898606038,0.1270979658975293,0.11261559986700198,0.131026854526064
Community Action Agency of South Alabama,0.1625849142997512,0.19509801234226432,0.16712985266149682,0.12953787460607957
Concordia College Alabama,0.1137861268069732,0.13231121606440532,0.09574929537159682,0.11007950436881853
Banyan Foundation Inc,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
Uab Educational Foundation,0.11936065989253286,0.16628279048317263,0.1395168476162979,0.11273506755969542
United States Health & Housing Foundation Inc,0.1364024484033457,0.17343615179262262,0.15382403007263068,0.11289792260355769
Mountain Brook Club,0.16441871962326338,0.2186691132319395,0.20432787060163637,0.17831779847244567
West Alabama Regional Commission,0.10125987555048444,0.1462409928716083,0.12109379836400425,0.08916361732067213
Young Mens Christian Association of Metropolitan Huntsville Alabama,0.08115413391129833,0.0924333336669384,0.09953437565339951,0.10879680414650394
The Valley Foundation,0.061446274281382385,0.10166340199941248,0.07691513061981081,0.06776937250843107
Family Guidance Center,0.12766325205265294,0.13737773339607218,0.11544417525053285,0.10252705031174025
Marshall Jackson 310 Agency Inc,0.25056818069037257,0.28501399570354213,0.2692124262460518,0.22972198244777997
Marshall Jackson MarshallJackson Mental Health Board Incorporated,0.2367008871578511,0.24102392639239734,0.24483623677112198,0.22081647514614333
Arc Baldwin ArcBaldwin County Inc,0.06769533330046207,0.10499009994842556,0.09058355202160373,0.06285025798884769
Alabama Regional Medical Services,0.08321455998966976,0.1265553966924582,0.10365709392944211,0.07408379081682448
The University of South Alabama Professional Liability Trust Fund,0.1627540649736472,0.21393805039632885,0.18444286929637244,0.13444550302681935
Alabama Credit Union Adminstration,0.10254688691732106,0.13488967615079095,0.1294337114630879,0.10371661287655176
Downtown Rescue Mission Inc,0.1382037491689193,0.13557418421102185,0.14765133737836145,0.15242270019481785
Faith Academy of Mobile Inc,0.13768717219414006,0.14956937097705292,0.10870849383391623,0.13531959185148168
Second Wind Programs Inc,0.08348791579809156,0.11846138429506836,0.08839715015826,0.09413752391651697
John Knox Manor Inc,0.07163903439557273,0.09043912726324721,0.08764939136236327,0.07266581872623223
Credit Unions in the State of Alabama,0.0898205589681439,0.1332249895544323,0.11755944308402144,0.08813708557617472
Goodwill Industries of Central Alabama Inc,0.09487880580883112,0.14705396933337322,0.11714641674395576,0.08750349905311006
Daniel Foundation of Alabama,0.1295395273215234,0.17312445365716633,0.1391838329378392,0.11231139880024799
Hospice of West Alabama Inc,0.18522166377574278,0.21412301691022517,0.2083948254206791,0.17682508746516667
Country Club of Mobile,0.18349449723295075,0.2242072003545812,0.19554306494775697,0.17685148542430573
Little Sisters of the Poor Home for the Aged Inc,0.10564932848425346,0.101979327925521,0.1317467906499511,0.13045929802970913
Alabama High School Athletic Association,0.204217173993694,0.21186607869513951,0.1872148327188936,0.19389282442642075
Vulcan Materials Company Foundation,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
A PLUS EDUCATION PARTNERSHIP,0.07544002047100329,0.10821294832735018,0.07029198067890308,0.0747621081898261
Central North Alabama Health Services Inc,0.19375193785525935,0.23176514611190369,0.20991675825834266,0.18665076287108584
Catholic Housing of Mobile Inc,0.18526256277961772,0.2120766316878928,0.21242586325809476,0.16750256395294805
Phil Waldrep Evangelistic Association,0.06549420238479842,0.10084765887062663,0.087022688517717,0.08958636461652902
GATEWAY,0.1958447961078319,0.18907971614479424,0.19255260421030773,0.1944987911347621
Community Foundation of South Alabama,0.16545826363472016,0.19083904229742998,0.1822548704965269,0.16500923564994385
Bayou La Batre Area Health Development Board Inc,0.2125707278835678,0.2542737344901356,0.2407532897911686,0.19875614069235392
LEGAL SERVICES ALABAMA INC,0.16475057347867805,0.19652857244585464,0.17587087192148942,0.13312607860894732
Madison Academy Inc,0.06867209317220513,0.08028511762947954,0.0727691576753976,0.08709172266062748
Franklin Electric Cooperative,0.3628155565691119,0.4131086653162003,0.3910972054087807,0.3590769677295368
Housing Affordability Trust,0.08520154809114511,0.12775037483468588,0.11441642804548735,0.07842507502983365
COMMUNITY FOUNDATION OF GREATER HUNTSVILLE,0.027087162650255125,0.06003521459385508,0.059126522063903786,0.046807938305185814
Wiregrass Rehabilitation Center Inc,0.46167473188802255,0.48276330059719763,0.4308067594277961,0.4177866578462698
American Christian Education Association Inc,0.16432933864416677,0.19102898733024531,0.15999059487861644,0.16561454365720607
RAINBOW OMEGA INC,0.1904673876620946,0.2132264222293655,0.19377176711283073,0.19353047775931487
The Foundry Ministries,0.21721111427951478,0.2229860813706518,0.24256785424433114,0.22886213142050582
University of Alabama Alumni Assoc Alumni Hall,0.14298756935816415,0.1580143205420509,0.13782942570337187,0.14495565161543822
Heritage South Credit Union,0.10678797543169605,0.13938813627021662,0.13429549962830845,0.10717967547996465
YWCA Central Alabama,0.17829105926380684,0.2083471556505404,0.19872744228479078,0.1721150772153277
Hearin Chandler HearinChandler Foundation,0.1909242363268039,0.23399237425297592,0.2244110277371495,0.19634802202522483
Community Action Agency of Central Alabama,0.1613809276520175,0.17931113346645444,0.1704713302362706,0.1456870997760904
Health Services Center Inc,0.1346322695157065,0.1882631465766439,0.16351887472634474,0.11852681961834688
Jacksonville State University Foundation,0.1700447424972774,0.19945565675827648,0.18369691093511442,0.17773513227482673
"Central Alabama Community Foundation, Inc.",0.09171118107095366,0.13072324066548469,0.10657133655769613,0.08865607141558673
Hospice of Marshall County Inc,0.09497780472494177,0.12818392662086275,0.11116344296829894,0.09633380811286563
Advancing Sight Network,0.10125256033909213,0.14902796278755148,0.13545595256764065,0.10385290363205535
The Bell Center for Early Intervention Programs,0.08899457164991786,0.10485353848593915,0.09779469852138845,0.09321878817484408
Gulf Regional Early Childhood Services Inc,0.08075735706261167,0.09943884969063477,0.08136626224612864,0.06660015130988184
Altamont School,0.047352472266047885,0.06928099343460781,0.05436966123909759,0.06978186914441653
Freedom Rain Inc,0.02801729954617338,0.04695401790143561,0.05398127856909285,0.04559101383356723
Seton Property Corporation of North Alabama,0.16357915914474852,0.20485201597221403,0.18195256008047622,0.1364054122194257
Alaska Native Tribal Health Consortium,0.11619834780001903,0.16612489487607174,0.14448497167835916,0.10576607574567176
Southcentral Foundation,0.1291857972133671,0.17205768832013102,0.14389722132224125,0.10733258530325407
Central Peninsula General Hospital Inc,0.07790838346982631,0.12738239133155793,0.1044487400385049,0.09010181768525372
Foundation Health LLC,0.1145317215322984,0.11621589108697616,0.12309448885438012,0.11030149193640237
Golden Valley Electric Assn Inc,0.25003874713421337,0.2402299351485544,0.2547761445975424,0.24616626455696689
Tanana Chiefs Conference,0.13383869232573697,0.17498840576019836,0.14172621756435344,0.12563144354318423
Yukon Kuskokwim YukonKuskokwim Health Corporation,0.10003433754715785,0.1279786668111894,0.11907651300155397,0.10437745303637946
Southeast Alaska Regional Health Consortium,0.09532315945943681,0.1371202748118595,0.11515110314106347,0.09153856356181744
Chugach Electric Association Inc,0.25003874713421337,0.2402299351485544,0.2547761445975424,0.24616626455696689
Norton Sound Health Corporation,0.1094766965754046,0.15937416959003758,0.13465141885234577,0.10011842398555071
Matanuska Electric Association Inc,0.09108876258829779,0.1425654976766504,0.12964898282594517,0.10136537356613384
Public Education Health Trust,0.33847971393439646,0.3524974902800426,0.38535347887683336,0.36862151816523014
Maniilaq Association,0.14473617086896295,0.16998636405264445,0.1459689134941199,0.1257198626865157
Bristol Bay Area Health Corporation,0.2203050080653478,0.27944008330273185,0.24484009372432747,0.22151058184981764
Homer Electric Association Inc,0.08553503117860617,0.13858677686145515,0.127407403906728,0.09829614567784295
South Peninsula Hospital Inc,0.2108573134437387,0.2559889772479098,0.22204669753884576,0.1934452716215621
Arctic Slope Native Association Ltd,0.13021201515205205,0.17106052781163938,0.15735459014155384,0.1399283139004014
Alaska Electrical Health and Welfare Fund,0.17714131610327444,0.22118978615667828,0.20200105970296378,0.1552150424634029
Alaska Village Electric Cooperative Inc,0.24336940163537324,0.2726951784959897,0.2638549840865988,0.2535672427722122
Alaska Electric and Energy Cooperative Inc,0.08553503117860617,0.13858677686145515,0.127407403906728,0.09829614567784295
Coastal Villages Region Fund,0.05388800430614282,0.0916457818473454,0.08454531169413282,0.07564790830552837
Cook Inlet Tribal Council Inc,0.07860193557466788,0.11171485156787486,0.088046214725366,0.06853918966174977
Association of Village Council Presidents,0.07680296894646876,0.130852526547373,0.09851178932826887,0.07826871584178052
HOPE COMMUNITY RESOURCES INC,0.060547430588294704,0.10411323320995458,0.09420955485615778,0.07092136445648989
