Name,IrsSubsection,Location,Ein,Mission
Noland Health Services Inc,501(c)(3) Public Charity,"Birmingham, AL",63-0308739,"noland health services, inc. (nhs) is dedicated to identifying and meeting the healthcare needs of the communities it serves, with emphasis it has maintained for many years on special services and programs to meet the needs of the elderly and other unique patient populations. in keeping with its mission and strategic plan, nhs has established itself as a premiere provider of long-term acute care hospital (ltach) services and retirement community services in the state of alabama. in pursuit of this focus, nhs operates five ltachs throughout alabama totaling 218 beds, which admitted 1,440 patients and provided 35,850 days of patient care. nhs operates ten retirement communities in alabama, which includes 1,102 skilled nursing (snf) beds, 246 assisted living (alf) units, 152 specialty care assisted living (scalf) units and 174 independent living (il) apartments. through these communities, nhs provided 326,967, 77,489, 37,485 and 59,166, resident days of snf, alf, scalf, and il services."
Tuskegee University,501(c)(3) Public Charity,"Tuskegee Institute, AL",63-0288878,to provide quality post secondary educational opportunities and contribute to the betterment of society through research and development
St Vincents Health System,501(c)(3) Public Charity,"Birmingham, AL",63-0931008,"our catholic health ministry is dedicated to spiritually centered, holistic care, which sustains and improves the health of individuals and communities. in furtherance of its mission and in an effort to reduce the government's financial burden, st. vincent's health system supports the efforts of its hospitals and health facilities providing care to individuals and communities."
Cullman Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Cullman, AL",63-0052772,"cullman electric cooperative's mission is to provide electric service to its members located in four north alabama counties while adhering to the following values: commitment, accountability, reliability and efficiency."
Cullman Regional Medical Center Inc,501(c)(3) Public Charity,"Cullman, AL",63-1058174,"cullman regional medical center, licensed for 145 beds, operates a 145-bed general acute care hospital for the community of cullman, alabama and surrounding areas regardless of a patient's ability to pay."
"Southern Poverty Law Center, Inc.",501(c)(3) Public Charity,"Montgomery, AL",63-0598743,"the southern poverty law center is dedicated to fighting hate and bigotry and to seeking justice for the most vulnerable members of our society. using litigation, education, and other forms of advocacy, the splc works toward the day when the ideals of equal justice and equal opportunity will be a reality."
"United Way of Central Alabama, Inc.",501(c)(3) Public Charity,"Birmingham, AL",63-0288846,"united way of central alabama’s mission is to increase the organized capacity of people to care for one another to improve our community. we are actively engaged in blount, jefferson, shelby, st. clair and walker county to create community-based solutions that strengthen quality of life. 

we fight for the health, education and financial stability of every person in our community. people like you help us impact the lives of those in need every day. because change doesn’t happen alone. to live better we must live united."
Central Alabama Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Prattville, AL",63-0038505,to provide utility service to cooperative members.
Compass Bank Health Care Trust,501(c)(9) Employees Associations,"Birmingham, AL",63-0782534,employee health plan - self insured plan
Credit Unions in the State of Alabama,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Birmingham, AL",63-0328360,cooperative society incorporated for the twofold purpose of promoting thrift among its members and creating a source of credit for them at legitimate rates of interest.
HudsonAlpha Institute for Biotechnology,501(c)(3) Public Charity,"Huntsville, AL",43-2059317,"the mission of hudsonalpha institute for biotechnology is to develop and apply scientific advances to health, agriculture, learning and commercialization."
Civil Air Patrol,501(c)(3) Public Charity,"Montgomery, AL",75-6037853,"supporting america's communities with emergency response, diverse aviation and ground services, youth development, and promotion of air, space, and cyber power."
Infirmary Health System Inc,501(c)(3) Public Charity,"Mobile, AL",63-0841123,"the infirmary health system mission is life which means emphasis is placed on leadership, integrity, family and excellent service. our vision is that we are the first choice for healthcare in our region. throughout infirmary heatlh system emphasis is placed on enhancing health and the quality of life for each memeber of our community and we accomplish this by providing support to organzations that promote health."
Sand Mountain Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Rainsville, AL",63-0182345,"to provide electric service to the people in rural areas at the lowest cost possible, consistent with sound business practices."
Birmingham Southern BirminghamSouthern College,501(c)(3) Public Charity,"Birmingham, AL",63-0288811,"birmingham-southern college prepares men and women for lives of significance. the college fosters intellectual and personal development through excellence in teaching and scholarship and by challenging students to engage their community and the greater world, to examine diverse perspectives, and to live with integrity. a residential, baccalaureate liberal arts institution, birmingham-southern honors its methodist heritage of informed inquiry and meaningful service."
University of South Alabama Health Services Foundation,501(c)(3) Public Charity,"Mobile, AL",63-0725648,to provide a group medical practice for physicians who are regular faculty members of the university of south alabama and to further medical education and research at the university.
Auburn University Foundation,501(c)(3) Public Charity,"Auburn University, AL",63-6022422,"the organization operates for the exclusive benefit of auburn university, an educational, land grant institution."
Max Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Montgomery, AL",36-4618706,"max is a state-chartered community credit union serving approximately 111,000 members in the montgomery, alabama and surrounding areas."
Eternal Word Television Network Inc,501(c)(3) Public Charity,"Birmingham, AL",63-0801391,eternal word television network is dedicated to the advancement of truth as defined by the magisterium of the roman catholic church. the mission of the eternal word television network is to serve the orthodox belief and teaching of the church as proclaimed by the supreme pontiff and his predecessors.
Tallapoosa River Electric Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Lafayette, AL",63-0205975,to provide dependable electric service at the lowest possible cost.
Southern Research Institute,501(c)(3) Public Charity,"Birmingham, AL",63-0288868,"science and technology are full of promise. southern research institute uses that potential to advance people's lives through creative problem solving.

from health care and the environment to national defense, energy, engineering and more, we are leaders in research that touches families and communities around the world each day. a not-for-profit contract research organization headquartered in birmingham, alabama, our history - and our future - is one of breakthrough discoveries, including revolutionary treatments for cancer, cleaner energy and innovative materials for commercial and military use."
Tennessee Valley Authority Cherokee Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Centre, AL",63-0040445,to provide reliable electric power and related services to our members at the most affordable cost.
Dixie Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Montgomery, AL",63-0059155,dixie electric cooperative is committed to safely providing its member- owners with economical and reliable electric power and related services.
Corporate America Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Irondale, AL",63-0826485,"cooperative society incorporated to operate as a corporate credit union for the mutual benefit of the credit union membership by providing a sound financial institution that will meet the financial needs of credit unions in a manner consistent with the credit union philosophy. this includes a source of liquidity, correspondent, investment, and related educational services."
Oakwood University Inc,501(c)(3) Public Charity,"Huntsville, AL",63-0366652,"oakwood university, a historically black seventh-day adventist institution of higher learning, provides quality christian education that emphasizes academic excellence; promotes harmonious development of mind, body and spirit; and prepares leaders in service for god and humanity."
Russell Hospital Corporation,501(c)(3) Public Charity,"Alexander City, AL",63-0385130,russell medical center and its physicians are committed to providing the highest standards of patient care and customer service. our mission is simple: being the best because we care.
Regions Foundation,501(c)(3) Private Non-Operating Foundation,"Birmingham, AL",63-1144265,this organization has not provided guidestar with a mission statement.
Covington Electric Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Andalusia, AL",63-0462077,"the cooperative's primary mission is to provide service to its approximately 23,000 member-owners in southern alabama."
Faulkner University,501(c)(3) Public Charity,"Montgomery, AL",63-0329409,the mission of faulkner university is to glorify god through education of the whole person emphasizing integrity of character in a caring christian environment where every individual matters every day.
Tigers Unlimited Foundation,501(c)(3) Public Charity,"Auburn, AL",36-4538203,to provide support for auburn university intercollegiate athletics
Retail Wholesale & Department Store International Union & Industry,"501(c)(5) Labor, Agricultural and Horticultural Organizations","Birmingham, AL",63-0373544,provides healthcare benefits to plan participants and their dependents.
Southern Pine Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Brewton, AL",63-0196775,southern pine electric cooperative is a nonprofit organization that exists to provide reliable electric service to its members at the lowest possible cost.
Alabama Forest Resources Center Inc,501(c)(3) Public Charity,"Mobile, AL",63-0958673,"the organization's purpose is to enhance, promote, and preserve the productivity and sustamability of alabama's forest resources to ensure their economic and environmental benefits for future generations."
Credit Unions in the State of Alabama,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Sheffield, AL",63-0333902,listerhill credit union is a member-owned financial institution whose purpose is to improve the quality of life for the membership by providing cost effective services to meet their financial needs while maintaining financial soundness and promoting the credit union philosophy.
Wire Grass Electric Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Hartford, AL",63-0229728,"wiregrass electric cooperative is a distribution cooperative, providing electricity to its members at cost. margins are assigned to members each year and returned in the form of capital credit retirements as the cooperative is financially able."
North Alabama Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Stevenson, AL",63-0153273,the aim of north alabama electric cooperative is to make electric energy available to its members at the lowest cost consistent with sound economy and good management.
International Fertilizer Development Center,501(c)(3) Public Charity,"Muscle Shoals, AL",63-0676451,to increase sustainable agricultural productivity through the development and transfer of effective and environmentally sound plant nutrient technology and agricultural marketing expertise.
Avadian Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Hoover, AL",63-0207315,to provide thrift opportunities and low cost loans to members.
Methodist Home for the Aging,501(c)(3) Public Charity,"Irondale, AL",63-0376518,retirement and nursing home care
South Alabama Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Troy, AL",63-0193841,"the aim of south alabama electric cooperative is to provide reliable, quality, electric energy and related services to meet the needs of our diverse consumer base at the lowest possible cost consistent with sound economy and good management."
Feeding the Gulf Coast,501(c)(3) Public Charity,"Theodore, AL",63-0821997,"as a member of feeding america, and a united way member agency, feeding the gulf coast works through member organizations and special programs to provide nutritious food to meet the challenge of feeding people who are hungry as a result of systemic poverty, personal crisis or disaster. feeding the gulf coast also educates the public regarding domestic hunger, proper nutrition and other related issues."
Black Warrior Electric Membership Corporation,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Demopolis, AL",63-0023263,the aim of black warrior electric membership corporation is to make electric energy available to its members at the lowest cost consistent with sound economy and good management.
Walker Area Community Foundation,501(c)(3) Public Charity,"Jasper, AL",63-1154984,the mission of the walker area community foundation is to serve as a nonprofit dedicate to the nurture and advancement of the community through forming and preserving charitable capital and using the proceeds of that capital to better the community as a whole.
Credit Unions of Alabama,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Tuscaloosa, AL",63-0440014,to provide thrift opportunities and low cost loans to members
Huntsville Rehabilitation Fdn,501(c)(3) Public Charity,"Huntsville, AL",23-7450941,to assist individuals primarily those with disabilities to improve the quality of their lives.
University of Mobile Inc,501(c)(3) Public Charity,"Eight Mile, AL",63-0417508,"to provide educational programs of the highest quality emphasizing and maintaining a tradition of excellence in undergraduate studies as well as in professional, graduate, continuing education, and specialized degree granting programs. all educational programs are student-oriented, designed for the intellectual, spiritual, cultural, and personal growth of students."
Coosa Valley Electric Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Talladega, AL",63-0049012,coosa valley electric cooperative is a member owned and operated total energy cooperative providing economic and community development while delivering high quality services at competitive rates with competent and well-trained employees adhering to strong and ethical business practices.
COMMUNITY ACTION PARTNERSHIP OF NORTH ALABAMA INC,501(c)(3) Public Charity,"Decatur, AL",63-0514875,"community action partnership of north alabama is a results-driven, non-profit business committed to reducing or eliminating the causes and consequences of poverty for families and communities in need through comprehensive services and strategic partnerships."
Alabama Childrens Hospital Foundation,501(c)(3) Public Charity,"Birmingham, AL",63-0879471,the mission of alabama children's hospital foundation (the foundation) is to support the activities and mission of the hospital (cha).
Uab Health System Managing Board,501(c)(3) Public Charity,"Birmingham, AL",63-1182994,"to provide common management of the existing and future healthcare delivery operations (the ""joint healthcare operations"") of the board of trustees of the university of alabama and the university of alabama health services foundation, p.c."
Guardian Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Montgomery, AL",63-0421006,cooperative society incorporated for the two-fold purpose of promoting thrift among its members and creating a source of credit for them at legitimate rates of interest.
Pea River Electric Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Ozark, AL",63-0161119,to provide the best value in quality electric and related services in southeast alabama.
Community Foundation of Greater Birmingham,501(c)(3) Public Charity,"Birmingham, AL",63-1209631,"the community foundation, founded in 1959, serves as a trusted advisor in growing philanthropy, as a high-impact grantmaker and as a catalyst and convener for transformational change for the greater birmingham region. we connect caring people and key resources to community needs and opportunities, using current and estate gifts held in the form of grantmaking funds. these funds may be unrestricted in their grantmaking, designated to benefit one or more agencies or advised by an individual, family or business. individual funds range in size, starting at a minimum of $15,000, but the donors who established these funds shared a common desire to give and create a better community now and in the future. "
Clarke Washington ClarkeWashington Electric Membership Corporation,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Jackson, AL",63-0043915,clarke-washington emc is committed to providing its customers with economical and reliable electric power and related services. we will continue to improve the value and quality of our services to better meet our customers' needs.
Quality of Life Health Services Inc,501(c)(3) Public Charity,"Gadsden, AL",63-0727804,provide primary health care to mostly low-income and underserved residents.
Alabama Providence Healthcare Services,501(c)(3) Public Charity,"Mobile, AL",46-2847744,"our mission as part of a catholic health care system is to further the healing ministry of jesus by continually improving the health and well-being of all people, especially the poor, in the communities we serve."
Arab Electric Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Arab, AL",63-0264087,none
Spring Hill College,501(c)(3) Public Charity,"Mobile, AL",63-0302179,"rooted in its catholic heritage and continuing the 450-year old jesuit tradition of educational excellence, spring hill college prepares students to become responsible leaders in service to others.we offer our students a thorough preparation for professional excellence. more importantly, we strive to awaken mind and spirit to the pursuit of truth and to an ever-deepening appreciation of the beauty of creation, the dignity of life, the demands of justice, and the mystery of god's love.  in our community of living and learning, we are committed to the jesuit tradition of  'cura personalis',that is, a care for the spiritual, social and intellectual growth of each individual. through informed dialogue with the world' cultures, religions and peoples, we promote solidarity with the entire human family.  and true to the catholic and biblical tradition, we nurture both the personal and social dimensions of faith, seeking to draw students into a deeper and more vital relationship with god."
"Montgomery Area Food Bank, Inc.",501(c)(3) Public Charity,"Montgomery, AL",63-0931846,"the mission of the montgomery area food bank is to nourish the hungry by educating and mobilizing the community, engaging in partnerships that advance self-sufficiency, and gathering then distributing food and other necessities across 35 alabama counties."
Equal Justice Initiative,501(c)(3) Public Charity,"Montgomery, AL",63-1135091,"eji is committed to ending mass incarceration and excessive punishment in the united states, to challenging racial and economic injustice, and to protecting basic human rights for the most vulnerable people in american society.
"
East Alabama Medical Center Voluntary Employee Benef Assoc Tru,501(c)(9) Employees Associations,"Opelika, AL",27-4168011,the purpose of the trust is to provide health insurance benefits to all participating employees in a funded manner.
Huntingdon College,501(c)(3) Public Charity,"Montgomery, AL",63-0288841,"huntingdon college, grounded in the judeo-christian tradition of the united methodist church, is committed to nurturing growth in faith, wisdom, and service and to graduating individuals prepared to succeed in a rapidly changing world. founded in 1854, huntingdon is a coeducational liberal arts college offering an undergraduate education and is committed to a teaching and learning environment that provides its graduates with an educational experience meeting the college's vision. the college motto, ""enter to grow in wisdom; go forth to apply wisdom in service,"" is inscribed in stone above the front door of john jefferson flowers hall."
Miles College,501(c)(3) Public Charity,"Fairfield, AL",63-0400608,"to motivate and direct its students to seek holistic development that leads to intellectual, ethical, spiritual, and service-oriented lives."
Credit Unions in the State of Alabama,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Rainbow City, AL",63-0355713,to provide thrift opportunities and low cost loans to members.
Alabama One Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Tuscaloosa, AL",63-0353833,cooperative society incorporated for the twofold purpose of promoting thrift among its members and creating a source of credit for them at legitimate rates of interest.
Community Senior Life Inc,501(c)(3) Public Charity,"Orange Beach, AL",63-1001785,"community senior life, inc. is established to promote and provide health and humanitarian endeavors which enhance the physical, mental and social well-being of frail elderly persons, including hospice services, assisted living services, dementia and alzheimer's care, long term care, education and other services."
Credit Unions in the State of Alabama,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Decatur, AL",63-0757453,to provide thrift opportunities and low cost loans to members
Automotive Aftermarket Association Southeast Health Fund,501(c)(9) Employees Associations,"Montgomery, AL",58-1928270,"providing for the payment of life, dental, vision, and health benefits to employees of members of the automotive aftermarket association southeast."
Russellville Hospital Inc,501(c)(3) Public Charity,"Russellville, AL",47-2378825,our mission is making communities healthier. russellville hospital is a rural acute care hospital.
Pioneer Electric Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Greenville, AL",63-0033945,"to safely deliver reliable service, in a timely and courteous manner, at the lowest possible cost to our members."
Talladega College,501(c)(3) Public Charity,"Talladega, AL",63-0288870,to nurture the whole person through mentoring relations between faculty and students. it provides experiences that develop strong moral and ethnical behaviors
Alabama Power Foundation Inc,501(c)(3) Private Non-Operating Foundation,"Birmingham, AL",57-0901832,this organization has not provided guidestar with a mission statement.
Five Star Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Dothan, AL",58-0960142,"the credit union is a cooperative association which was organized to promote thrift among its members as well as to provide them with a source of credit. five star serves members in counties in the southeast region of alabama and georgia. the total number of members served is in excess of 42,000."
Health Services Inc,501(c)(3) Public Charity,"Montgomery, AL",63-0568762,"health services, inc. (hsi) is a medical home providing access to affordable primary, preventive and wellness services distinguished by compassion, quality, integrity and respect in montgomery and surrounding areas."
YMCA of Greater Birmingham,501(c)(3) Public Charity,"Birmingham, AL",63-0299894,"to put judeo-christian principles into practice through programs that build healthy spirit, mind and body for all."
Franklin Primary Health Center Inc,501(c)(3) Public Charity,"Mobile, AL",63-0695975,"providing primary health care, hiv substance abuse prevention services to the uninsured underinsured is integral to the exempt purpose of the organization"
Jefferson County Committee for Economic Opportunity,501(c)(3) Public Charity,"Birmingham, AL",63-0505899,"jefferson county committee for economic opportunity was organized and incorporated under the alabama non-profit corporation act of the state of alabama in order to formulate a ""community action program"" under the terms of the economic opportunity act of 1964.jcceo seeks to reduce poverty and help low-income citizens of jefferson county, alabama to meet critical needs and become self-sufficient."
Escambia County Alabama Community Hospitals Inc,501(c)(3) Public Charity,"Atmore, AL",63-1143638,the organizations primary mission is dedicated to meeting the healthcare needs in escambia county alabama and surrounding communities.
The Arc of Central Alabama Inc,501(c)(3) Public Charity,"Birmingham, AL",63-0375738,serving people with intellectual and/or other developmental disabilities and their families.
Northwest Medical Center Inc,501(c)(3) Public Charity,"Winfield, AL",32-0453405,"northwest medical center, inc., seeks to identify and serve the primary healthcare needs of inpatients, outpatients, surgical, and er patients in a rural environment."
Electric Cooperatives Voluntary Employees Beneficiary Association,501(c)(9) Employees Associations,"Montgomery, AL",26-2483511,collection of participating employer contributions to fund health and welfare plan. funds are used to pay health claims costs and administrative expenses of operation of the plan.
Corporation for the Promotion of Rifle Practice and Firearms Safety,501(c)(3) Public Charity,"Anniston, AL",34-1839195,"to promote the instruction of rifle marksmanship and firearms safety, to conduct firearms competitions, and to sponsor firearms safety and marksmanship related programs with emphasis on youth."
Holle Family Foundation,501(c)(3) Private Non-Operating Foundation,"Birmingham, AL",46-4166996,this organization has not provided guidestar with a mission statement.
Capstone Health Services Foundation P C,501(c)(3) Public Charity,"Tuscaloosa, AL",63-0810661,"the foundation was organized as a non-profit corporation dedicated to providing an organization and framework to develop and furnish patient care through the university medical center, and is employed to support the educational programs of the university of alabama college of community health sciences (cchs). cchs's mission is to improve and promote the health of individuals and communities in alabama and the region through leadership in medical education and primary care, the provision of high quality, accessible health care services, and scholarship."
St Vincents Blount,501(c)(3) Public Charity,"Oneonta, AL",63-0909073,"rooted in the loving ministry of jesus as healer, we commit ourselves to serving all persons with special attention to those who are poor and vulnerable. our catholic health ministry is dedicated to spiritually-centered, holistic care which sustains and improves the health of individuals and communities. we are advocates for a compassionate and just society through our actions and our words."
GLENWOOD INC,501(c)(3) Public Charity,"Birmingham, AL",23-7396710,"glenwood provides an array of services which are devoted to supporting and treating children and adults impacted by autism spectrum disorder and children with severe emotional and behavioral disorders. services include educational, vocational, diagnostic services and treatment based interventions which are based on best practice and dedicated to improving outcomes and the quality of life of every individual served."
Huntsville Emergency Medical Services Inc,501(c)(3) Public Charity,"Huntsville, AL",63-0799285,to provide emergency medical services to the general public and contract ambulance services.
Easter Seals Alabama Inc,501(c)(3) Public Charity,"Montgomery, AL",23-7070631,"easter seals alabama, inc. provides exceptional services to ensure that all people with disabilities have equal opportunity to live, learn, work and play."
Learning Tree Inc,501(c)(3) Public Charity,"Mobile, AL",63-0854115,serving children with autism and other developmental challenges.
Goodwill Industries Easter IndustriesEaster Seals of the Gulf Coast Inc,501(c)(3) Public Charity,"Mobile, AL",63-0363472,"founded in 1902 by rev. edgar helms, goodwill industries' primary mission is to place people in productive and competitive jobs."
Northwest Alabama Mental Health Center,501(c)(3) Public Charity,"Jasper, AL",63-0524073,community mental health center
Alabama State Employees Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Montgomery, AL",63-0348156,"the credit union's mission is to promote thrift among its members and create a source of credit for them at legitimate rates of interest. the credit union serves members in the montgomery, alabama area and surrounding counties. the total number of members is in excess of 40,000."
EPISCOPAL FOUNDATION OF JEFFERSON COUNTY ST MARTINS IN THE PINES,501(c)(3) Public Charity,"Irondale, AL",63-0386404,"the mission of st martin's in the pines is to serve god through a ministry that provides a continuum 0 f care and quality of life to aging individuals and their families. we do this by providing housing, long-term care services and support including nursing care, independent living, assisted living and personal care to the elders of jefferson county, alabama."
Community Food Bank of Central Alabama,501(c)(3) Public Charity,"Birmingham, AL",63-0837956,the community food bank of central alabama feeds people in need today and fosters collaborative solutions to end hunger tomorrow.
Randolph School,501(c)(3) Public Charity,"Huntsville, AL",63-0412843,elementary and secondary school
Cahaba Medical Care Foundation,501(c)(3) Public Charity,"Centreville, AL",27-3605364,"cahaba medical care is a local community-based health organization that aims to be an incarnation of love, peace, and justice by guiding our patients through their journey towards physical, mental, and social well-being, and to be a center for transformational medical education and primary care training in a rural, urban, and international context, modeling and exhorting the next generation of medical professionals in a career of excellence, conscientiousness, and compassion."
Community Hospital Inc,501(c)(3) Public Charity,"Tallassee, AL",63-0047680,"community hospital shall create and foster an environment in which qualified practitioners, other healthcare personnel and volunteers can work together to provide healthcare services for the residents of tallassee and surrounding areas. in addition, community hospital must expand its area of responsibility to the provision of health care other than acute care - such as ambulatory, in-home, and long term care. community hospital realizes, that in order to fulfill its commitment to the comprehensive health care needs of the local service population, it needs to develop administrative and financial strategies that will fit with the changing health care environment incorporating the philosophy of continuous quality improvement."
Huntsville Madison HuntsvilleMadison County Mental Health Board Inc,501(c)(3) Public Charity,"Huntsville, AL",63-0579328,wellstone exists to restore hope and healthy living by providing comprehensive behavioral health services in the community. 
Stillman College,501(c)(3) Public Charity,"Tuscaloosa, AL",63-0315935,the college is a liberal arts institution committed to fostering academic excellence and to providing high quality educational opportunity
Sterling CO,501(c)(3) Public Charity,"Gadsden, AL",46-2455801,to provide healthcare and management services primarily to those organizations serving mentally disabled citizens.
Whatley Health Services Inc,501(c)(3) Public Charity,"Tuscaloosa, AL",63-0727781,to provide healthcare to the medically underserved and uninsured.
Southeast Alabama Rural Health Associates,501(c)(3) Public Charity,"Troy, AL",63-1178135,"we exist to provide quality, culturally competent primary and preventive health services to the residents of southeast alabama without regard to their ability to pay."
Dynetics Inc Employee Health and Welfare Plan,501(c)(9) Employees Associations,"Huntsville, AL",20-5618027,"the trust manages the employee/employer contributions for dynetics, inc. health and welfare plan and pays the premiums to insurance providers on behalf of all the employees."
Birmingham Zoo Inc.,501(c)(3) Public Charity,"Mountain Brk, AL",62-1231591,inspiring passion to conserve the natural world
South Alabama Regional Planning Commission,501(c)(3) Public Charity,"Mobile, AL",63-0501382,"to assist member governments in community development, planning, aging services, disaster mitigation and other services."
